code,company,actual,minimum,maximum,min,max
532832,INDIABULLS REAL ESTATE LTD,-0.0239180271091693,-0.0232055289039882,-0.027419080797225,-0.0007124982051811002,-0.0035010536880556997
500124,DR REDDYS LABORATORIES LTD,-0.0110610991633298,-0.0110610991633298,-0.014460081642824,0.0,-0.0033989824794941996
532880,OMAXE LTD,-0.0184340924061884,-0.0177509226259237,-0.0217794261426292,-0.0006831697802647009,-0.0033453337364407996
533274,PRESTIGE ESTATES PROJECTS LTD,-0.0063501514613868,-0.0063501514613868,-0.0094642745827891,0.0,-0.0031141231214022996
500002,ABB INDIA LTD,-0.0138485699398793,-0.0138485699398793,-0.0163536362612629,0.0,-0.0025050663213836023
505790,SCHAEFFLER INDIA LTD,-0.013732122746106,-0.0136274223216462,-0.0160848032491245,-0.00010470042445979988,-0.002352680503018501
500067,BLUE STAR LTD,-0.0058260657485993,-0.0058260657485993,-0.0081621227546923,0.0,-0.002336057006093001
531162,EMAMI LTD,-0.0081700933672391,-0.0081700933672391,-0.0101019829891531,0.0,-0.0019318896219140003
500875,ITC LTD,-0.0101993741112147,-0.0101993741112147,-0.0116191461503989,0.0,-0.0014197720391842007
531642,MARICO LTD,-0.0044233930951015,-0.0044233930951015,-0.0055754893699359,0.0,-0.0011520962748344
533278,COAL INDIA LTD,-0.0001495012825834,-0.0001495012825834,-0.0001761586775471,0.0,-2.665739496370001e-05
500184,HIMADRI SPECIALITY CHEMICAL LTD,1.2410143716853368,-0.0125581612316238,1.2410143716853368,1.2535725329169607,0.0
540699,DIXON TECHNOLOGIES INDIA LTD,1.2244266374529338,0.07731099467525,1.2244266374529338,1.1471156427776839,0.0
540750,INDIAN ENERGY EXCHANGE LTD,0.4352302750090067,0.3909875852801322,0.4352302750090067,0.04424268972887446,0.0
540575,STAR CEMENT LTD,0.2395923216770842,0.2224437729715552,0.2395923216770842,0.017148548705528982,0.0
500325,RELIANCE INDUSTRIES LTD,0.1057901585746099,0.0189540765747049,0.1057901585746099,0.086836081999905,0.0
531344,CONTAINER CORPN OF INDIA LTD,7.626058407579697e-05,7.480736756404747e-05,0.0001033091657802,1.4532165117495024e-06,2.7048581704403033e-05
500084,CESC LTD,0.0008308734974579,0.0008308734974579,0.0010528815004889,0.0,0.00022200800303099992
500295,VEDANTA LTD,0.0004040117531635,0.0002775276491282,0.0006603433662169,0.00012648410403530002,0.0002563316130534
500870,CASTROL INDIA LTD,0.0011129784164493,0.0011129784164493,0.0016587880967203,0.0,0.0005458096802709999
539524,DR LAL PATHLABS LTD,0.0017970046246351,0.0017970046246351,0.0025648557412037,0.0,0.0007678511165686
509631,HEG LTD,0.2262227856431866,0.2156342124193827,0.2270794594241328,0.01058857322380391,0.0008566737809461988
500770,TATA CHEMICALS LTD,0.0035987435095086,0.0034822069960558,0.0045093968355413,0.00011653651345279979,0.0009106533260327
531500,RAJESH EXPORTS LTD,0.006280548129667,0.005912621103182,0.0072414938883312,0.0003679270264849996,0.0009609457586642004
500477,ASHOK LEYLAND LTD,0.0155256672844714,0.0155256672844714,0.0168201532863317,0.0,0.0012944860018602993
511218,SHRIRAM TRANSPORT FINANCE CO LTD,0.0061799141709256,0.005989690035406,0.0079085418587832,0.0001902241355196,0.0017286276878576007
509966,VST INDUSTRIES LTD,0.0100068170411889,0.0098163118381629,0.0121252816403947,0.00019050520302600106,0.0021184645992058
530517,RELAXO FOOTWEARS LTD,0.0189864377164124,0.0185324467924407,0.0211368774945695,0.0004539909239716991,0.0021504397781570983
532898,POWER GRID CORPORATION OF INDIA LTD,0.0143421621426899,0.0143421621426899,0.0171752705272972,0.0,0.0028331083846072982
540743,GODREJ AGROVET LTD,0.0799871658540597,0.079316555078889,0.0836127472308549,0.0006706107751706936,0.003625581376795209
500410,ACC LTD,0.049345678654301,0.0478010023238405,0.0531733347471368,0.001544676330460501,0.0038276560928358003
523395,M INDIA LTD,0.1350282867563714,0.1249372600986543,0.1389435153242815,0.010091026657717106,0.003915228567910101
533151,DB CORPORATION LTD,0.034188639046152,0.034188639046152,0.0381113738955563,0.0,0.003922734849404301
500878,CEAT LTD,0.013404732218905,0.0092594012026844,0.0176228385863524,0.004145331016220602,0.004218106367447398
539336,GUJARAT GAS LTD,0.1641700173090037,0.143539828265311,0.168424827790995,0.02063018904369271,0.004254810481991278
532210,CITY UNION BANK LTD,0.0389903021601794,0.0375190945495297,0.0444803828101542,0.0014712076106496996,0.0054900806499747976
539523,ALKEM LABORATORIES LTD,0.0917712236308646,0.0917712236308646,0.0977240490234544,0.0,0.005952825392589803
532313,MAHINDRA LIFESPACE DEVELOPERS LTD,0.028542011479615,0.028542011479615,0.0355764010347777,0.0,0.0070343895551627025
532725,SOLAR INDUSTRIES INDIA LTD,0.015257123309244,0.0149576722125436,0.0222957435171568,0.0002994510967003986,0.0070386202079128005
520111,RATNAMANI METALS  TUBES LTD,0.0129124916726752,0.0097604225180848,0.0201032040890286,0.0031520691545904,0.0071907124163534
513683,NLC INDIA LTD,0.0072002854900095,0.0068844916117379,0.0146520039873425,0.0003157938782715995,0.007451718497333
532843,FORTIS HEALTHCARE LTD,0.0447968447616664,0.0439676381466378,0.0528047717250657,0.0008292066150285965,0.008007926963399303
532921,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD,0.0673558888419778,0.0658788298338464,0.0757905717732857,0.0014770590081314011,0.008434682931307905
