code,company,actual,predicted,minimum,maximum
533519,LT FINANCE HOLDINGS LTD,0.07306335326798442,0.12791500173121795,0.06960630138150047,0.0820235381622583
530517,RELAXO FOOTWEARS LTD,0.07260385438752512,0.8667874196438089,0.06668211094613365,0.16291513139836492
532508,JINDAL STAINLESS LTD,0.07209733796100987,0.12335596796346344,0.06609938109646384,0.07950537888989646
532899,KAVERI SEED COMPANY LTD,0.07192735485626077,0.13799078289714584,0.05951312943663363,0.08289439583415517
535789,INDIABULLS HOUSING FINANCE LTD,0.071279161948372,0.1914107096843056,0.0675641678046609,0.08086519384370763
532539,MINDA INDUSTRIES LTD,0.0696572891350133,0.14316722548455443,0.06729167458991532,0.07628759722272455
540750,INDIAN ENERGY EXCHANGE LTD,0.06931128770400745,0.12045746556839837,,0.07285629515292659
541556,RITES LTD,0.06887934270284828,0.2540621491131215,,0.08163461268825671
500477,ASHOK LEYLAND LTD,0.0672154972995904,0.09994692006116908,0.06578097857302802,0.07115383239404413
508486,HAWKINS COOKERS LTD,0.06717551337126193,0.11649715615577973,0.06571036344228957,0.07142565271294676
539978,QUESS CORP LTD,0.06714725030757933,0.05229968640259079,0.06615027721759328,
542920,SUMITOMO CHEMICAL INDIA PVT LTD,0.06380840021700442,0.1192878617437232,,0.06734845590192517
500251,TRENT LTD,0.06303689673614846,0.07645003577569065,0.05728810210804895,0.07091635783791059
509488,GRAPHITE INDIA LTD,0.0630007769268334,0.1385040807566657,0.03347952414559943,0.0809413974144464
511431,VAKRANGEE LTD,0.06266378873470783,0.21598411478552298,0.047450613524763444,0.07933505033249857
520057,JTEKT INDIA LTD,0.06164596948238062,0.10859635046708244,0.05380865961551016,0.07075330954220416
507685,WIPRO LTD,0.06095288335934655,0.12264445529664902,0.06026477575721707,0.06682029313295398
532977,BAJAJ AUTO LTD,0.06059320309141503,0.11706215366167959,0.059677504516834276,0.06409905774313142
532720,MAHINDRA  MAHINDRA FINANCIAL SERVICES LTD,0.0590826802328246,0.12480811078075046,0.05821126057570392,0.06353647333945424
532540,TATA CONSULTANCY SERVICES LTD,0.05784216304582998,0.23731119665614536,,0.06822304014959538
521070,ALOK INDUSTRIES LTD,0.05766447502895085,0.1574426510411857,0.041892604710498785,0.07926331036595685
523261,VENKYS INDIA LTD,0.05746015591352801,0.18630589083298962,0.04280897076699875,0.06846204727857039
533274,PRESTIGE ESTATES PROJECTS LTD,0.05683354862489005,0.19050245969131083,0.050915339320082666,0.06923579175461048
532454,BHARTI AIRTEL LTD,0.056811931977056154,0.11409193177881911,0.0553149502953218,0.06111137663894564
541450,ADANI GREEN ENERGY LTD,0.05511319672964796,0.24233708153682892,0.050807327847618586,0.0661364927148113
541988,AAVAS FINANCIERS LTD,0.05496798062020538,0.14399420752956485,,0.05986157253564906
541557,FINE ORGANIC INDUSTRIES LTD,0.05464285077431847,0.18388327675854685,0.046545735918723734,0.0639736369266529
505790,SCHAEFFLER INDIA LTD,0.054584969863978414,0.046506921503966375,0.05235197479433024,0.05647913186388006
512573,AVANTI FEEDS LTD,0.05394557773482602,0.4677541978093714,0.053341486445738606,0.07739016372583295
532309,GE POWER INDIA LTD,0.05354880244525148,0.09995735943738036,0.05193656767437128,0.057399710902399155
532482,GRANULES INDIA LTD,0.05230611814927565,0.3284407508666161,0.05157742997003848,0.06959443991765643
532461,PUNJAB NATIONAL BANK,0.05158635163704064,0.15588244995058137,0.028931390785081088,0.05863536969936748
500660,GLAXOSMITHKLINE PHARMACEUTICALS LTD,0.05116970475278729,0.25541045766500237,0.048605821423083305,0.06194332532377684
532644,JK CEMENT LTD,0.0509445274473019,0.09535923531839906,0.049862643939567776,0.05351126555259011
