SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,DATE
531869,SACHETA MET.,X ,Q,19.7,19.9,18.9,19.5,19.5,19.35,416,106555,2083078.0,,2021-07-19
531870,POPULAR EST ,Z ,Q,6.59,6.59,6.59,6.59,6.59,6.93,1,1,6.0,,2021-07-19
531878,ANJANI FINL ,X ,Q,5.56,5.98,5.56,5.88,5.88,5.85,42,37727,210840.0,,2021-07-19
531879,PIONEER DIS.,B ,Q,135.45,136.3,131.75,132.3,132.4,132.75,178,3418,457877.0,,2021-07-19
531881,GMETCOAL    ,Z ,Q,19.7,20.1,19.0,19.25,19.0,19.9,9,265,5166.0,,2021-07-19
531888,REXNORD ELE.,X ,Q,60.0,62.35,59.0,59.9,59.9,60.6,130,6730,403661.0,,2021-07-19
531892,KHANDWALA SE,B ,Q,17.65,18.35,17.35,18.35,18.35,17.5,33,12601,227996.0,,2021-07-19
531893,SAWACA BUSI ,X ,Q,3.15,3.15,3.0,3.15,3.15,3.0,156,109441,337104.0,,2021-07-19
531900,CCL INTER   ,X ,Q,17.45,17.45,16.35,17.1,17.25,17.1,35,2056,35069.0,,2021-07-19
531904,GLOBUS CORP ,XT,Q,0.26,0.26,0.26,0.26,0.26,0.25,32,110829,28815.0,,2021-07-19
531909,CROISSANCE  ,XT,Q,8.69,8.69,7.9,8.69,8.69,8.29,20,8066,67072.0,,2021-07-19
531913,GOPAL IRON S,XT,Q,4.88,4.88,4.67,4.88,4.88,4.88,12,4186,20424.0,,2021-07-19
531917,TWINSTAR SOF,Z ,Q,3.26,3.26,3.26,3.26,3.26,3.11,49,48098,156799.0,,2021-07-19
531921,AGAR IND COR,B ,Q,355.8,361.85,351.45,357.65,360.95,355.8,304,7790,2774772.0,,2021-07-19
531923,DHAMPURE SGR,XT,Q,36.95,37.5,35.0,37.5,37.5,35.75,116,14348,531565.0,,2021-07-19
531925,SHANTANU SHE,XT,Q,1.78,1.78,1.78,1.78,1.78,1.7,108,76256,135735.0,,2021-07-19
531928,GOLDEN CARPE,X ,Q,5.22,5.22,5.22,5.22,5.22,5.22,3,130,678.0,,2021-07-19
531929,INNOCORP L  ,XT,Q,2.53,2.53,2.53,2.53,2.53,2.66,2,500,1265.0,,2021-07-19
531930,SARTHAK INDU,X ,Q,65.1,65.1,65.1,65.1,65.1,62.0,3,23,1497.0,,2021-07-19
531950,VERTEX SEC. ,XT,Q,2.75,2.75,2.75,2.75,2.75,2.62,35,61074,167953.0,,2021-07-19
531952,RIBA TEXTILS,X ,Q,53.55,54.6,49.5,50.0,50.0,53.55,1668,508246,25941347.0,,2021-07-19
531962,SHREMETAL   ,XT,Q,26.45,26.45,26.45,26.45,26.45,25.2,9,424,11214.0,,2021-07-19
531968,IITL PROJ   ,XT,Q,23.9,23.9,23.9,23.9,23.9,23.9,1,5,119.0,,2021-07-19
531972,TRIDENTTOOL ,Z ,Q,9.36,9.36,9.36,9.36,9.36,8.92,2,200,1872.0,,2021-07-19
531977,CHARTERLOGIS,XT,Q,5.1,5.3,4.93,5.15,5.17,5.17,294,149157,762072.0,,2021-07-19
531978,AMBIKA COTTO,B ,Q,1405.1,1475.0,1392.0,1460.05,1460.7,1405.0,1388,7356,10614874.0,,2021-07-19
531979,HIND ALUMIN ,X ,Q,41.6,41.6,39.2,39.95,39.95,40.15,93,6782,272969.0,,2021-07-19
531982,SPECTR FOOD ,XT,Q,16.25,16.25,15.15,15.15,15.15,15.9,7,181,2886.0,,2021-07-19
531989,DECCAN POLYP,Z ,Q,4.4,4.4,4.4,4.4,4.4,4.4,2,15,66.0,,2021-07-19
531991,AMRAWOR AGRI,XT,Q,0.48,0.48,0.48,0.48,0.48,0.5,732,948452,455256.0,,2021-07-19
531994,AUTO PINS(I),X ,Q,90.2,90.2,90.2,90.2,90.2,85.95,1,1,90.0,,2021-07-19
531996,ODYSSEY CORP,X ,Q,3.57,3.57,3.57,3.57,3.57,3.4,16,36563,130529.0,,2021-07-19
532001,INDUCTO STL.,X ,Q,22.8,22.8,22.8,22.8,22.8,22.8,1,10,228.0,,2021-07-19
532005,SAM INDUS.  ,X ,Q,20.6,21.95,20.2,21.35,21.35,21.25,18,1890,39662.0,,2021-07-19
532007,SHREEVAT.FIN,XT,Q,5.23,5.25,5.01,5.25,5.25,5.01,28,5999,31354.0,,2021-07-19
532011,POOJA ENT   ,XT,Q,143.6,143.6,143.6,143.6,143.6,136.8,61,2103,301990.0,,2021-07-19
532015,GRAVITY (I) ,XT,Q,4.4,4.4,4.4,4.4,4.4,4.63,38,9908,43595.0,,2021-07-19
532019,LCC INFOTECH,T ,Q,1.95,1.97,1.86,1.91,1.91,1.94,85,60382,115458.0,,2021-07-19
532022,FILAT FASH  ,X ,Q,3.05,3.05,2.82,2.85,2.82,2.96,160,150486,431239.0,,2021-07-19
532029,SINDHU TRADE,XT,Q,101.95,106.0,98.9,106.0,106.0,101.95,10,230,23664.0,,2021-07-19
532033,JAIN STUDIOS,Z ,Q,2.9,2.9,2.85,2.85,2.85,2.9,3,3250,9420.0,,2021-07-19
532035,UNISTAR MULT,XT,Q,9.31,9.31,9.31,9.31,9.31,8.87,23,13652,127100.0,,2021-07-19
532038,EMMSONS INT.,Z ,Q,1.99,2.08,1.99,2.08,2.08,2.09,4,1100,2227.0,,2021-07-19
532039,ZENOTECH    ,X ,Q,49.25,51.4,47.05,48.4,48.0,49.25,234,35523,1730993.0,,2021-07-19
532041,HINDUSTN BIO,XT,Q,3.85,3.85,3.58,3.63,3.84,3.74,72,24371,92865.0,,2021-07-19
532042,FRONTL CORP ,XT,Q,10.47,10.99,10.47,10.99,10.99,10.47,5,924,10090.0,,2021-07-19
532051,SWELECT     ,B ,Q,265.95,265.95,250.0,255.05,252.05,265.2,610,8091,2081218.0,,2021-07-19
532053,WALLFORT FIN,X ,Q,58.5,62.55,58.5,62.55,62.55,56.9,185,42507,2635608.0,,2021-07-19
532054,KDDL LTD    ,T ,Q,348.0,348.0,339.0,339.0,339.0,345.3,3,102,34590.0,,2021-07-19
532056,ADINATH EXIM,XT,Q,13.29,13.29,13.02,13.25,13.25,13.7,12,1292,16886.0,,2021-07-19
532057,ABHINAV CAP ,XT,Q,29.15,29.15,29.15,29.15,29.15,30.6,3,21,612.0,,2021-07-19
532067,KILPEST (I) ,X ,Q,618.8,621.0,608.0,611.65,613.8,618.8,1086,21846,13380655.0,,2021-07-19
532070,SUPERB PAPER,X ,Q,15.55,15.7,14.8,15.0,15.0,15.1,17,41803,645500.0,,2021-07-19
532072,INTER DIGI  ,XT,Q,0.15,0.15,0.15,0.15,0.15,0.15,257,1230317,184547.0,,2021-07-19
532090,VANDANA     ,XT,Q,1.61,1.61,1.61,1.61,1.61,1.54,26,59756,96207.0,,2021-07-19
532092,SAGARPROD   ,XT,Q,3.05,3.05,2.85,2.92,3.0,2.97,170,88038,259650.0,,2021-07-19
532097,MUKAND ENGG.,T ,Q,24.25,24.25,24.25,24.25,24.25,24.25,15,4402,106748.0,,2021-07-19
532100,INDO-CITY IN,X ,Q,4.28,4.28,4.07,4.07,4.07,4.28,10,5727,23310.0,,2021-07-19
532102,SBEC SUGAR  ,XT,Q,34.35,37.95,34.35,36.35,35.9,36.15,323,50314,1809791.0,,2021-07-19
532113,BRIJLAXMI LE,X ,Q,2.2,2.28,2.2,2.28,2.28,2.18,24,10958,24857.0,,2021-07-19
532114,AREALTY     ,Z ,Q,4.05,4.24,3.85,3.88,3.88,4.05,26,6071,23996.0,,2021-07-19
532123,BSE  INFRA  ,B ,Q,1.78,1.78,1.78,1.78,1.78,1.7,93,223552,397922.0,,2021-07-19
532124,RELIAB VEN  ,XT,Q,10.3,11.38,10.3,11.38,11.38,10.84,76,11407,128130.0,,2021-07-19
532134,BANKBARODA  ,A ,Q,81.65,81.65,79.65,80.15,80.15,81.75,12817,2619201,210870810.0,,2021-07-19
532139,G-TECH INFO.,XT,Q,0.63,0.63,0.63,0.63,0.63,0.63,6,486,306.0,,2021-07-19
532140,MOHITE      ,X ,Q,19.69,19.69,18.1,19.12,19.4,18.82,22,5242,99187.0,,2021-07-19
532141,ANDHRA CEMEN,T ,Q,26.45,26.75,26.45,26.75,26.75,25.5,326,216282,5776658.0,,2021-07-19
532143,SKM EGG PROD,B ,Q,89.0,91.35,88.2,89.6,89.85,89.95,798,38236,3423594.0,,2021-07-19
532144,WELCORP     ,A ,Q,152.0,152.0,146.65,147.7,147.7,152.85,1958,160580,24022026.0,,2021-07-19
532145,H.S.(I) LTD.,XT,Q,6.85,6.98,6.5,6.52,6.52,6.69,44,9690,66007.0,,2021-07-19
532149,BNK OF INDIA,A ,Q,74.25,75.0,73.5,73.95,73.95,75.15,1491,258044,19137737.0,,2021-07-19
532150,INDRAPRAST  ,B ,Q,86.15,86.15,83.0,83.25,83.55,84.45,596,28666,2403837.0,,2021-07-19
