Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unix Date
2014-07-11,27.75,27.75,27.75,27.75,27.727272727272727,11.0,4.0,305.0,11.0,100.0,0.0,0.0,1405036800.0
2014-07-10,28.3,28.3,28.3,28.3,28.266666666666666,15.0,4.0,424.0,15.0,100.0,0.0,0.0,1404950400.0
2014-07-09,28.85,28.85,28.85,28.85,28.82608695652173,23.0,5.0,663.0,23.0,100.0,0.0,0.0,1404864000.0
2014-07-08,29.4,29.5,29.4,29.4,29.425414364640883,181.0,12.0,5326.0,181.0,100.0,0.1,0.0,1404777600.0
2014-07-07,29.95,29.95,29.95,29.95,29.95,1000.0,4.0,29950.0,1000.0,100.0,0.0,0.0,1404691200.0
2014-07-04,31.75,31.75,30.55,30.55,30.5819209039548,177.0,8.0,5413.0,177.0,100.0,1.2,-1.2,1404432000.0
2014-07-03,31.15,31.15,31.15,31.15,31.14851485148515,101.0,10.0,3146.0,101.0,100.0,0.0,0.0,1404345600.0
2014-07-02,30.55,30.55,30.55,30.55,30.549800796812747,1004.0,12.0,30672.0,1004.0,100.0,0.0,0.0,1404259200.0
2014-07-01,31.15,31.15,31.15,31.15,31.0,1.0,2.0,31.0,1.0,100.0,0.0,0.0,1404172800.0
2014-06-30,31.75,32.35,31.75,31.75,31.977941176470587,136.0,12.0,4349.0,136.0,100.0,0.6,0.0,1404086400.0
2014-06-27,32.35,32.35,32.35,32.35,32.0,2.0,4.0,64.0,2.0,100.0,0.0,0.0,1403827200.0
2014-06-26,32.8,33.0,32.8,33.0,32.803921568627445,306.0,22.0,10038.0,306.0,100.0,0.2,0.2,1403740800.0
2014-06-25,33.45,33.45,33.4,33.45,33.4,125.0,16.0,4175.0,125.0,100.0,0.05,0.0,1403654400.0
2014-06-24,35.15,35.15,35.15,35.15,35.14516129032258,62.0,8.0,2179.0,62.0,100.0,0.0,0.0,1403568000.0
2014-06-23,38.85,38.85,36.95,36.95,36.984,125.0,14.0,4623.0,125.0,100.0,1.9,-1.9,1403481600.0
2014-06-20,39.0,39.0,38.85,38.85,38.84,25.0,10.0,971.0,25.0,100.0,0.15,-0.15,1403222400.0
2014-06-19,40.85,40.85,40.85,40.85,40.81818181818181,11.0,4.0,449.0,11.0,100.0,0.0,0.0,1403136000.0
2014-06-18,42.95,42.95,42.95,42.95,42.5,2.0,4.0,85.0,2.0,100.0,0.0,0.0,1403049600.0
2014-06-17,45.2,45.2,45.2,45.2,45.1958041958042,143.0,8.0,6463.0,143.0,100.0,0.0,0.0,1402963200.0
2014-06-16,47.55,47.55,47.55,47.55,47.0,1.0,2.0,47.0,1.0,100.0,0.0,0.0,1402876800.0
2014-06-13,49.85,49.85,49.85,49.85,49.5,2.0,4.0,99.0,2.0,100.0,0.0,0.0,1402617600.0
2014-06-12,53.0,57.9,52.45,52.45,56.0,19.0,13.0,1064.0,18.0,94.74,5.45,-0.55,1402531200.0
2014-06-11,55.2,55.2,55.2,55.2,55.2,10.0,4.0,552.0,10.0,100.0,0.0,0.0,1402444800.0
2014-06-10,59.95,59.95,58.1,58.1,59.94876748834111,15010.0,12.0,899831.0,15010.0,100.0,1.85,-1.85,1402358400.0
2014-06-02,60.0,62.0,60.0,61.15,61.95415944540728,11540.0,12.0,714951.0,11400.0,98.79,2.0,1.15,1401667200.0
2014-05-14,60.0,60.0,60.0,60.0,60.0,214.0,3.0,12840.0,214.0,100.0,0.0,0.0,1400025600.0
2014-05-08,60.05,60.05,60.05,60.05,60.04878048780488,41.0,3.0,2462.0,41.0,100.0,0.0,0.0,1399507200.0
2014-05-07,63.2,63.2,63.2,63.2,63.0,1.0,2.0,63.0,1.0,100.0,0.0,0.0,1399420800.0
2014-05-05,66.5,66.5,66.5,66.5,66.0,1.0,2.0,66.0,1.0,100.0,0.0,0.0,1399248000.0
2014-04-30,70.0,70.0,70.0,70.0,70.0,1300.0,4.0,91000.0,1300.0,100.0,0.0,0.0,1398816000.0
2014-04-25,70.0,73.0,70.0,73.0,72.99152542372882,8850.0,8.0,645975.0,8850.0,100.0,3.0,3.0,1398384000.0
2014-04-09,76.8,76.8,73.0,73.0,74.0,3.0,6.0,222.0,1.0,16.67,3.8,-3.8,1397001600.0
2014-03-31,76.8,76.8,76.8,76.8,76.0,1.0,1.0,76.0,0.0,0.0,0.0,0.0,1396224000.0
2014-03-28,73.5,73.5,73.5,73.5,73.0,1.0,1.0,73.0,0.0,0.0,0.0,0.0,1395964800.0
2014-03-12,70.0,70.0,70.0,70.0,70.0,15.0,1.0,1050.0,15.0,100.0,0.0,0.0,1394582400.0
2014-02-11,72.85,72.85,72.85,72.85,72.85,20.0,1.0,1457.0,20.0,100.0,0.0,0.0,1392076800.0
2014-01-24,76.65,76.65,76.65,76.65,76.6,10.0,1.0,766.0,10.0,100.0,0.0,0.0,1390521600.0
2013-12-24,73.0,73.0,73.0,73.0,73.0,25.0,1.0,1825.0,25.0,100.0,0.0,0.0,1387843200.0
2013-10-22,72.6,72.6,72.6,72.6,72.6,285.0,2.0,20691.0,285.0,100.0,0.0,0.0,1382400000.0
2013-10-11,71.35,71.35,71.35,71.35,71.0,1.0,1.0,71.0,1.0,100.0,0.0,0.0,1381449600.0
2013-10-09,68.0,68.0,68.0,68.0,68.0,1.0,1.0,68.0,1.0,100.0,0.0,0.0,1381276800.0
2013-09-26,65.0,65.0,65.0,65.0,65.0,3.0,3.0,195.0,3.0,100.0,0.0,0.0,1380153600.0
2013-09-20,64.75,64.75,64.75,64.75,64.75,36.0,1.0,2331.0,36.0,100.0,0.0,0.0,1379635200.0
2013-09-19,68.15,68.15,68.15,68.15,68.0,1.0,1.0,68.0,1.0,100.0,0.0,0.0,1379548800.0
2013-09-13,64.95,64.95,64.95,64.95,64.95,7500.0,6.0,487125.0,7500.0,100.0,0.0,0.0,1379030400.0
2013-08-08,62.1,62.1,62.1,62.1,62.0,1.0,1.0,62.0,1.0,100.0,0.0,0.0,1375920000.0
2013-07-04,65.35,65.35,65.35,65.35,65.35,1000.0,1.0,65350.0,1000.0,100.0,0.0,0.0,1372896000.0
2013-07-03,68.75,68.75,68.75,68.75,68.75,1000.0,1.0,68750.0,1000.0,100.0,0.0,0.0,1372809600.0
2013-06-12,72.35,72.35,72.35,72.35,72.0,2.0,1.0,144.0,2.0,100.0,0.0,0.0,1370995200.0
2013-06-11,76.2,76.2,76.15,76.15,76.0,2.0,2.0,152.0,2.0,100.0,0.05,-0.05,1370908800.0
2013-06-10,72.65,72.65,72.65,72.65,72.0,1.0,1.0,72.0,1.0,100.0,0.0,0.0,1370822400.0
2013-06-07,69.25,69.25,69.25,69.25,69.0,1.0,1.0,69.0,1.0,100.0,0.0,0.0,1370563200.0
2013-06-05,66.1,66.1,66.1,66.1,66.1,500.0,1.0,33050.0,500.0,100.0,0.0,0.0,1370390400.0
2013-05-30,69.55,69.55,69.55,69.55,69.5,6.0,3.0,417.0,6.0,100.0,0.0,0.0,1369872000.0
2013-05-24,73.2,73.2,73.2,73.2,73.0,1.0,1.0,73.0,1.0,100.0,0.0,0.0,1369353600.0
2013-05-20,77.0,77.0,77.0,77.0,77.0,1.0,1.0,77.0,1.0,100.0,0.0,0.0,1369008000.0
2013-05-14,80.9,80.9,80.9,80.9,80.9,10.0,2.0,809.0,10.0,100.0,0.0,0.0,1368489600.0
2013-05-13,77.45,77.45,77.45,77.45,77.0,1.0,1.0,77.0,1.0,100.0,0.0,0.0,1368403200.0
2013-05-10,73.85,73.85,73.85,73.85,73.8,10.0,1.0,738.0,10.0,100.0,0.0,0.0,1368144000.0
2013-05-02,73.7,77.7,73.7,77.7,75.5,2.0,2.0,151.0,2.0,100.0,4.0,4.0,1367452800.0
2013-04-30,74.6,74.6,74.4,74.4,74.39969719909159,1321.0,2.0,98282.0,1321.0,100.0,0.2,-0.2,1367280000.0
2013-04-29,70.95,71.05,70.95,71.05,71.0,2.0,2.0,142.0,2.0,100.0,0.1,0.1,1367193600.0
2013-04-26,67.0,67.75,67.0,67.75,67.0,3.0,3.0,201.0,3.0,100.0,0.75,0.75,1366934400.0
2013-04-25,64.55,64.55,64.55,64.55,64.33333333333333,3.0,3.0,193.0,3.0,100.0,0.0,0.0,1366848000.0
2013-04-23,61.7,61.7,61.5,61.5,61.33333333333333,3.0,3.0,184.0,2.0,66.67,0.2,-0.2,1366675200.0
2013-04-22,58.8,58.8,58.0,58.8,58.33333333333333,6.0,6.0,350.0,6.0,100.0,0.8,0.0,1366588800.0
2013-04-18,56.45,56.65,55.95,56.0,56.16666666666666,6.0,6.0,337.0,6.0,100.0,0.7,-0.45,1366243200.0
2013-04-17,54.65,54.65,54.0,54.0,54.0,4.0,4.0,216.0,4.0,100.0,0.65,-0.65,1366156800.0
2013-04-16,52.3,52.3,51.95,52.2,52.0,4.0,4.0,208.0,4.0,100.0,0.35,-0.1,1366070400.0
2013-04-15,49.7,49.9,49.0,49.9,49.5,6.0,6.0,297.0,6.0,100.0,0.9,0.2,1365984000.0
2013-04-12,47.55,47.55,47.55,47.55,47.0,1.0,1.0,47.0,1.0,100.0,0.0,0.0,1365724800.0
2013-04-11,45.35,45.35,45.35,45.35,45.0,1.0,1.0,45.0,1.0,100.0,0.0,0.0,1365638400.0
2013-04-05,43.2,43.2,43.2,43.2,43.0,1.0,1.0,43.0,1.0,100.0,0.0,0.0,1365120000.0
2013-04-04,45.45,45.45,45.45,45.45,45.44,25.0,1.0,1136.0,25.0,100.0,0.0,0.0,1365033600.0
2013-04-02,47.45,50.0,47.45,47.8,47.47933884297521,121.0,6.0,5745.0,121.0,100.0,2.55,0.35,1364860800.0
2013-03-28,49.9,49.9,49.9,49.9,49.0,1.0,1.0,49.0,1.0,100.0,0.0,0.0,1364428800.0
2013-03-26,47.0,49.65,47.0,49.55,47.82687447346251,7122.0,24.0,340623.0,7084.0,99.47,2.65,2.55,1364256000.0
2013-03-25,50.1,50.1,49.45,49.45,49.725,2000.0,5.0,99450.0,2000.0,100.0,0.65,-0.65,1364169600.0
2013-03-22,52.0,52.75,50.8,52.0,51.84938271604938,4050.0,17.0,209990.0,4050.0,100.0,1.95,0.0,1363910400.0
2013-03-21,51.0,61.4,51.0,51.55,54.45521698984303,1083.0,25.0,58975.0,393.0,36.29,10.4,0.55,1363824000.0
2013-03-20,51.2,57.5,51.2,56.55,55.81207516993202,2501.0,11.0,139586.0,2001.0,80.01,6.3,5.35,1363737600.0
2013-03-19,54.55,59.9,54.55,55.15,57.58433734939759,830.0,14.0,47795.0,225.0,27.11,5.35,0.6,1363651200.0
2013-03-18,56.05,64.55,56.05,59.9,58.44309139136725,8294.0,29.0,484727.0,8283.0,99.87,8.5,3.85,1363564800.0
2013-03-15,70.95,70.95,61.7,62.1,64.1496106785317,1798.0,40.0,115341.0,1209.0,67.24,9.25,-8.85,1363305600.0
2013-03-14,72.0,72.0,68.2,68.5,71.01004304160689,697.0,11.0,49494.0,697.0,100.0,3.8,-3.5,1363219200.0
2013-03-13,71.9,71.9,66.15,68.2,69.22716627634661,854.0,15.0,59120.0,354.0,41.45,5.75,-3.7,1363132800.0
2013-03-12,71.95,71.95,71.9,71.95,71.9470538001708,1171.0,6.0,84250.0,1151.0,98.29,0.05,0.0,1363046400.0
2013-03-11,72.7,72.7,71.0,71.0,71.04878048780488,1640.0,22.0,116520.0,1640.0,100.0,1.7,-1.7,1362960000.0
2013-03-08,78.5,78.75,70.6,72.95,73.16007622677465,2099.0,50.0,153563.0,1681.0,80.09,8.15,-5.55,1362700800.0
2013-03-07,72.05,79.25,65.45,78.3,78.01914399015453,7313.0,90.0,570554.0,3221.0,44.04,13.8,6.25,1362614400.0
2013-03-06,78.35,78.4,72.0,72.05,73.83709273182957,798.0,27.0,58922.0,651.0,81.58,6.4,-6.3,1362528000.0
2013-03-05,74.95,74.95,70.55,74.7,70.6343537414966,588.0,7.0,41533.0,588.0,100.0,4.4,-0.25,1362441600.0
2013-03-04,71.95,71.95,71.95,71.95,71.9,10.0,1.0,719.0,10.0,100.0,0.0,0.0,1362355200.0
2013-02-28,73.0,73.0,71.95,71.95,72.02402957486137,541.0,5.0,38965.0,541.0,100.0,1.05,-1.05,1362009600.0
2013-02-27,72.65,75.7,72.65,75.7,72.69090909090909,55.0,6.0,3998.0,55.0,100.0,3.05,3.05,1361923200.0
2013-02-26,76.45,76.45,76.45,76.45,76.4,5.0,1.0,382.0,5.0,100.0,0.0,0.0,1361836800.0
2013-02-22,77.5,77.5,73.9,73.9,74.09561752988049,251.0,11.0,18598.0,251.0,100.0,3.6,-3.6,1361491200.0
2013-02-21,77.75,77.75,77.75,77.75,77.75,12.0,1.0,933.0,12.0,100.0,0.0,0.0,1361404800.0
2013-02-20,74.5,74.5,74.5,74.5,74.5,10.0,1.0,745.0,10.0,100.0,0.0,0.0,1361318400.0
2013-02-19,74.75,74.75,69.05,71.5,71.22583479789104,1138.0,30.0,81055.0,1138.0,100.0,5.7,-3.25,1361232000.0
2013-02-18,72.65,72.65,72.65,72.65,72.648,375.0,6.0,27243.0,375.0,100.0,0.0,0.0,1361145600.0
2013-02-15,79.2,79.2,72.1,76.45,73.10727969348659,522.0,19.0,38162.0,522.0,100.0,7.1,-2.75,1360886400.0
2013-02-14,74.05,76.85,74.05,75.85,75.09756097560974,246.0,10.0,18474.0,246.0,100.0,2.8,1.8,1360800000.0
2013-02-13,77.9,77.9,77.9,77.9,77.88,25.0,1.0,1947.0,25.0,100.0,0.0,0.0,1360713600.0
2013-02-12,78.7,78.7,74.0,76.95,74.93827160493827,162.0,8.0,12140.0,162.0,100.0,4.7,-1.75,1360627200.0
2013-02-11,77.35,77.35,77.35,77.35,77.34,50.0,1.0,3867.0,50.0,100.0,0.0,0.0,1360540800.0
2013-02-08,74.15,74.15,70.5,73.95,71.5,140.0,5.0,10010.0,140.0,100.0,3.65,-0.2,1360281600.0
2013-02-07,74.15,74.2,71.5,71.85,72.57621951219512,328.0,6.0,23805.0,328.0,100.0,2.7,-2.3,1360195200.0
2013-02-06,72.5,72.5,71.0,71.0,71.20034944670938,1717.0,18.0,122251.0,1717.0,100.0,1.5,-1.5,1360108800.0
2013-02-05,73.25,73.25,70.1,70.95,71.67616334283001,1053.0,27.0,75475.0,1053.0,100.0,3.15,-2.3,1360022400.0
2013-02-04,77.0,77.0,71.1,73.0,73.1268466632705,1963.0,26.0,143548.0,1963.0,100.0,5.9,-4.0,1359936000.0
2013-02-01,76.9,77.0,73.0,73.85,74.0034188034188,585.0,18.0,43292.0,585.0,100.0,4.0,-3.05,1359676800.0
2013-01-31,77.0,77.0,71.6,76.2,73.39006514657981,1228.0,20.0,90123.0,1228.0,100.0,5.4,-0.8,1359590400.0
2013-01-30,75.95,78.0,73.75,75.35,76.98871968415115,3546.0,34.0,273002.0,3546.0,100.0,4.25,-0.6,1359504000.0
2013-01-29,77.35,77.4,73.25,75.85,76.41574415744157,1626.0,34.0,124252.0,1626.0,100.0,4.15,-1.5,1359417600.0
2013-01-28,77.85,77.85,73.2,75.9,74.85050505050505,495.0,14.0,37051.0,495.0,100.0,4.65,-1.95,1359331200.0
2013-01-25,70.2,74.75,68.5,74.45,70.40838483380658,5987.0,18.0,421535.0,5987.0,100.0,6.25,4.25,1359072000.0
2013-01-24,68.75,71.8,68.55,71.75,69.09016393442623,366.0,8.0,25287.0,366.0,100.0,3.25,3.0,1358985600.0
2013-01-23,74.9,74.9,68.15,68.45,69.20731163620152,4486.0,41.0,310464.0,4486.0,100.0,6.75,-6.45,1358899200.0
2013-01-22,75.1,78.75,71.3,71.7,75.41472725600221,21742.0,121.0,1639667.0,21742.0,100.0,7.45,-3.4,1358812800.0
