code,company,actual,predicted,minimun,maximum
517174,HONEYWELL AUTOMATION INDIA LTD,0.10563402323581039,0.12574639768774978,0.10282601313253742,0.10997822677604929
509557,GARWARE TECHNICAL FIBRES LTD,0.10426194183119825,0.2918608162044176,0.09089070021321176,0.1315154452599787
533286,MOIL LTD,0.10422388430357335,0.2608650742236775,0.09670849518281668,0.12319865337855408
500483,TATA COMMUNICATIONS LTD,0.10308215994393058,0.21610008288852212,0.10057075828225492,0.11895062061293646
511243,CHOLAMANDALAM INVESTMENT  FINANCE CO LTD,0.1026125859459191,0.7194185835372902,,0.16590464438572203
519091,TASTY BITE EATABLES LTD,0.10245282605895054,0.3526683972413775,0.07285719820622534,0.13073920262227204
500335,BIRLA CORPORATION LTD,0.10104350461416607,0.1621901757116153,0.09598810573594281,0.11667269696264623
533148,JSW ENERGY LTD,0.1010182974532742,0.15029434851353649,0.09377054359746909,0.11276714668289177
539150,PNC INFRATECH LTD,0.09882003596882977,0.112676671289836,0.090524622455075,0.11737108555114044
523261,VENKYS INDIA LTD,0.0958511282052486,0.27182406748074983,,0.11271833296839912
539876,CROMPTON GREAVES CONSUMER ELECTRICALS LTD,0.09424371312141536,0.20458260519355465,0.0927803605644501,0.10481437449674393
500126,PROCTER  GAMBLE HEALTH LTD,0.09351799832908016,0.17639361443919435,0.08668482119347332,0.10555278955490667
509966,VST INDUSTRIES LTD,0.0932953440627794,0.19606180578801966,,0.10288297646755012
509243,TVS SRICHAKRA LTD,0.09160910536956253,0.47717632977834634,0.08923398975606246,0.12771050318371271
541956,IRCON INTERNATIONAL LTD,0.0893701027287702,0.15487269591700725,0.08710417968877472,0.09832440033767306
540975,ASTER DM HEALTHCARE LTD,0.08934172027554878,-0.12870896355131517,0.06986069707519697,
521064,TRIDENT LTD,0.08872893569624796,0.34400278160076336,0.07740935148125526,0.1254283344439721
541540,SOLARA ACTIVE PHARMA SCIENCES LTD,0.08767652510141939,0.21148123738388766,0.08549780242021639,0.09871231275504543
542830,INDIAN RAILWAY CATERING  TOURISM CORPN LTD,0.08644816364481633,0.318971190596534,,0.10654935232992647
500228,JSW STEEL LTD,0.08622954554717495,0.11128044299529896,0.08330775912572386,0.09154870062402393
500403,SUNDRAM FASTENERS LTD,0.08577203301624184,0.15973644208941512,,0.09211611075329287
500253,LIC HOUSING FINANCE LTD,0.08451330315480651,0.22633416184819902,0.08040285923931123,0.09782873789949084
500048,BEML LTD,0.08257209603559032,0.5246027853542592,,0.11907149656468964
500233,KAJARIA CERAMICS LTD,0.08229001524240019,3.9676632306390536,,0.40201743635980414
533519,LT FINANCE HOLDINGS LTD,0.08137867015589492,0.20874064786191718,0.07491654334345545,0.09619733843236583
532977,BAJAJ AUTO LTD,0.08025264670733107,0.17674106121370242,0.07586200080827388,0.08980330321568933
500086,EXIDE INDUSTRIES LTD,0.08010244530382155,0.24908641918733013,,0.0936384748290477
540768,MAHINDRA LOGISTICS LTD,0.0775982517456275,0.12956353960549732,0.07411904938121243,0.08246529144098937
500387,SHREE CEMENT LTD,0.07606651114823663,0.11919611478735748,0.07263146147390982,0.08500261332983804
500878,CEAT LTD,0.0745672187628648,0.8786577168531158,,0.13452601083910143
500400,TATA POWER CO LTD,0.07443851388852309,0.26371148491999147,0.07093029976705828,0.09117511095786061
530001,GUJARAT ALKALIES  CHEMICALS LTD,0.07279258516480518,0.24903374213281662,,0.08562163459294293
532461,PUNJAB NATIONAL BANK,0.06859254828760934,0.13587499965533803,0.04897769248631966,0.08380821771755122
532209,JAMMU  KASHMIR BANK LTD,0.06852352388122765,0.17002176494109913,0.058889900060022336,0.08154755601409418
511431,VAKRANGEE LTD,0.06850546628991805,0.14328154827492018,,0.07362803665363375
531595,CAPRI GLOBAL CAPITAL LTD,0.06839629907476866,0.22179626011869782,,0.0788882886883871
500520,MAHINDRA  MAHINDRA LTD,0.06804086348307044,0.23007795639704348,0.06728076850744989,0.08007617051783286
500870,CASTROL INDIA LTD,0.06781665831231401,0.23909802791047682,0.06640291704627425,0.07970525694026373
532810,POWER FINANCE CORPN LTD,0.06702499816723513,0.18650195719464005,0.06565348510509308,0.07538467072789805
500020,BOMBAY DYEING  MFG CO LTD,0.06673747817160774,0.22179960795589987,,0.07708593367332996
532483,CANARA BANK,0.062185768474672914,0.15000094556135565,0.05336726514521035,0.0775013906669074
534309,NBCC INDIA LTD,0.061229548880449756,0.0786801581944674,0.053436580393005986,0.06659845691898296
512573,AVANTI FEEDS LTD,0.060397317563808485,0.5224655713604428,0.0563414027683056,0.09063810995708853
500104,HINDUSTAN PETROLEUM CORPN LTD,0.059501391320941545,0.2104217664415435,0.051164171662235594,0.07171589659978114
542011,GARDEN REACH SHIPBUILDERS  ENGINEERS LTD,0.05859348442605709,0.15353173879229645,0.0559374497185898,0.0672611267372338
500249,KSB LTD,0.057398296244484656,0.13007283949543894,0.05290613240786299,0.06365469705961484
532500,MARUTI SUZUKI INDIA LTD,0.05697406648547976,0.14448290044756276,,0.06195980060970229
500338,PRISM JOHNSON LTD,0.056847571913698165,0.19605151170155125,0.047497149454539984,0.07225043287512133
500820,ASIAN PAINTS LTD,0.05649605212175304,0.1098862106140434,0.05231940495983405,0.0640214177499654
500302,PIRAMAL ENTERPRISES LTD,0.05632870366367203,0.1518083266859785,0.04388321077165225,0.06883644156807961
532622,GATEWAY DISTRIPARKS LTD,0.056185349608307976,0.4190250091338568,,0.07657162273051037
500495,ESCORTS LTD,0.054690926515226224,0.358315957995939,,0.07129646080012113
532777,INFO EDGE INDIA LTD,0.05467904941208368,0.15826496830051826,0.051647621444786455,0.06060921493462315
532779,TORRENT POWER LTD,0.052875954262092885,0.16450667911660216,0.05121690549827629,0.06201923387751615
533271,ASHOKA BUILDCON LTD,0.05285269888263722,0.19053076966281537,0.05035199180349228,0.06335487887453704
539336,GUJARAT GAS LTD,0.05266180013521472,0.10496426460649166,0.05214304735105254,0.057201466455631775
532689,PVR LTD,0.052506938578496434,0.16251585480665634,,0.05828316998597539
541195,MISHRA DHATU NIGAM LTD,0.0519300641284124,0.12153874246491334,0.05126092001309321,0.05652804367525843
505790,SCHAEFFLER INDIA LTD,0.05064532087225736,0.1238162672856038,0.04762411896459788,0.056834519550636724
532424,GODREJ CONSUMER PRODUCTS LTD,0.04836651120904344,0.3373285727297176,,0.06234259799657143
507880,VIP INDUSTRIES LTD,0.048206097238780034,0.12710783773459955,0.043372316841984795,0.05559097224549335
507685,WIPRO LTD,0.04782797388704397,0.1500278647306361,0.04391002264647757,0.05452543245053424
506655,SUDARSHAN CHEMICAL INDS LTD,0.0474397873452,0.1608999006265946,0.04409040711946547,0.05544188215302152
500252,LAKSHMI MACHINE WORKS LTD,0.046466183477504426,0.15810980127797816,,0.05165383630631362
500875,ITC LTD,0.04602281363924597,0.10116573189045816,0.042352436507877976,0.05060730832292954
524208,AARTI INDUSTRIES LTD,0.045420727172266195,0.18319614747138618,0.04312524813236444,0.05296744622241376
532162,JK PAPER LTD,0.04441955066066209,0.19240795420993653,0.039463447963586654,0.052274204725501025
532892,MOTILAL OSWAL FINANCIAL SERVICES LTD,0.044409704867681976,0.7287052908365863,,0.07479906988281852
532281,HCL TECHNOLOGIES LTD,0.04349455720558657,0.1201415921661839,0.04139558657473205,0.04880381313507771
500411,THERMAX LTD,0.04288380968461432,0.12236522185885489,,0.04629227543775883
524715,SUN PHARMACEUTICAL INDS LTD,0.04280028840594682,0.22312538044813948,,0.05051825435218157
517506,TTK PRESTIGE LTD,0.04191407161937073,0.12308934736253462,,0.04531645794059187
532443,CERA SANITARYWARE LTD,0.04084556007247329,0.2381404173765963,0.03649033091183494,0.05102553280885475
530549,SHILPA MEDICARE LTD,0.04008671307260045,0.3925344665604527,0.03936818013271397,0.05433994978686855
539437,IDFC FIRST BANK LTD,0.03850319410763483,0.15930861302769042,,0.04315458860156787
519600,CCL PRODUCTS INDIA LTD,0.03845779890509408,0.3121673881028846,,0.04898406724485862
500292,HEIDELBERG CEMENT INDIA LTD,0.038327892276393306,0.12933382435705923,0.036362763965195506,0.04246003585413065
500087,CIPLA LTD,0.03825180960873654,0.13315632177546088,0.03739636741061856,0.0425397584489701
517569,KEI INDUSTRIES LTD,0.03782968916423167,0.5003055085540647,,0.05532500565772241
532321,CADILA HEALTHCARE LTD,0.03635998653347653,0.21464058620245496,,0.042842266736620706
500040,CENTURY TEXTILES  INDS LTD,0.03608899251960819,0.20500723744539354,0.03538911012092306,0.04271122153983662
500380,JK LAKSHMI CEMENT LTD,0.0360570505340488,0.11035314176408213,0.03522569140843862,0.03942388827223039
532539,MINDA INDUSTRIES LTD,0.035412634044458643,0.22785721483018653,0.03367422400960628,0.04326272592335126
540180,VARUN BEVERAGES LTD,0.03532339983921492,0.4972017951281754,,0.05163851507310183
532889,KPR MILLS LTD,0.034693848205445896,0.2219330667632703,,0.04118989723219736
532309,GE POWER INDIA LTD,0.0344324695155394,0.22033465812616243,,0.04083354095774673
