Date,Open,High,Low,Close
6-December-2012,7561.54,7588.49,7476.02,7578.41,
7-December-2012,7595.63,7611.55,7529.81,7551.62,
10-December-2012,7562.53,7574.24,7538.28,7558.58,
11-December-2012,7581.31,7627.07,7494.34,7535.92,
12-December-2012,7554.18,7570.46,7515.75,7528.79,
13-December-2012,7544.49,7554.48,7460.59,7470.69,
14-December-2012,7470.24,7517.06,7462.32,7512.04,
17-December-2012,7510.24,7533.89,7499.13,7507.64,
18-December-2012,7524.39,7566.34,7468.22,7558.66,
19-December-2012,7588.57,7614.68,7587.07,7604.62,
20-December-2012,7614.04,7614.04,7551.05,7590.11,
21-December-2012,7567.00,7567.00,7486.79,7492.41,
24-December-2012,7522.33,7526.06,7497.53,7504.69,
26-December-2012,7519.93,7579.37,7519.93,7560.61,
27-December-2012,7582.28,7586.04,7521.23,7528.32,
28-December-2012,7540.55,7580.29,7539.83,7572.36,
31-December-2012,7577.73,7593.39,7573.50,7581.57,
1-January-2013,7613.36,7661.62,7613.36,7650.75,
2-January-2013,7689.09,7723.88,7689.09,7703.19,
3-January-2013,7726.34,7739.18,7699.27,7729.66,
4-January-2013,7734.81,7746.40,7702.74,7742.53,
7-January-2013,7762.01,7774.33,7713.37,7725.93,
8-January-2013,7723.51,7739.89,7694.11,7734.13,
9-January-2013,7748.15,7769.86,7688.21,7701.59,
10-January-2013,7727.92,7746.59,7665.66,7689.48,
11-January-2013,7732.12,7732.32,7628.63,7641.13,
14-January-2013,7660.87,7748.48,7645.17,7734.11,
15-January-2013,7757.47,7780.88,7728.72,7763.87,
16-January-2013,7764.33,7773.48,7673.25,7684.99,
17-January-2013,7696.36,7745.26,7682.36,7728.04,
18-January-2013,7751.93,7778.65,7730.02,7743.27,
21-January-2013,7776.11,7777.16,7747.82,7764.36,
22-January-2013,7766.97,7792.70,7701.00,7710.18,
23-January-2013,7722.95,7742.47,7650.12,7694.86,
24-January-2013,7697.96,7707.35,7600.10,7610.20,
25-January-2013,7617.81,7702.98,7605.91,7696.35,
28-January-2013,7711.37,7723.85,7688.20,7701.87,
29-January-2013,7700.72,7746.94,7654.98,7661.06,
30-January-2013,7680.52,7695.90,7654.26,7667.05,
31-January-2013,7660.79,7678.38,7646.42,7665.74,
1-February-2013,7673.22,7697.72,7624.37,7636.78,
4-February-2013,7666.48,7678.49,7594.25,7600.96,
5-February-2013,7578.47,7580.21,7547.79,7563.84,
6-February-2013,7594.95,7610.76,7563.14,7570.57,
7-February-2013,7554.11,7597.25,7517.26,7530.01,
8-February-2013,7530.48,7547.40,7456.71,7479.30,
11-February-2013,7495.41,7495.68,7460.77,7472.69,
12-February-2013,7480.26,7497.33,7443.27,7491.83,
13-February-2013,7516.45,7549.24,7475.25,7485.09,
14-February-2013,7491.99,7494.70,7404.33,7419.94,
15-February-2013,7402.92,7427.32,7368.14,7416.24,
18-February-2013,7427.30,7456.34,7419.86,7437.83,
19-February-2013,7448.04,7513.37,7430.60,7503.39,
20-February-2013,7531.05,7535.53,7499.94,7505.17,
21-February-2013,7473.68,7473.68,7370.74,7379.41,
22-February-2013,7417.81,7417.81,7362.68,7384.79,
25-February-2013,7410.82,7414.34,7333.17,7365.70,
26-February-2013,7351.10,7351.10,7237.30,7248.08,
27-February-2013,7275.51,7322.64,7230.52,7300.19,
28-February-2013,7341.48,7362.01,7138.74,7163.69,
1-March-2013,7175.22,7217.69,7153.72,7188.55,
4-March-2013,7183.23,7183.23,7113.39,7139.63,
