Security Code,Security Name
532832,Indiabulls Real Estate Ltd.
532839,Dish TV India Ltd.
532843,Fortis Healthcare Ltd.
532848,Delta Corp Ltd.
532856,Time Technoplast Ltd
532865,Meghmani Organics Ltd.
532868,DLF Ltd.
532872,Sun Pharma Advanced Research Company Ltd.
532880,Omaxe Ltd.
532885,Central Bank of India
532889,KPR Mills Ltd.
532892,Motilal Oswal Financial Services Ltd
532898,Power Grid Corporation of India Ltd.
532899,Kaveri Seed Company Ltd.
532921,Adani Ports and Special Economic Zone Ltd.
532922,Edelweiss Financial Services Ltd.
532926,Jyothy Labs Ltd.
532927,eClerx Services Ltd
532929,Brigade Enterprises Ltd.
532942,KNR Constructions Ltd.
532947,IRB Infrastructure Developers Ltd.
532953,V-Guard Industries Ltd.
532955,REC Ltd.
532977,Bajaj Auto Ltd
532978,Bajaj Finserv Ltd.
533023,Wabco India Ltd.
533088,Mahindra Holidays & Resorts India Ltd
533096,Adani Power Ltd.
533098,NHPC Ltd.
533106,Oil India Ltd.
533148,JSW Energy Ltd.
533150,Godrej Properties Ltd.
533151,DB Corporation Ltd.
533155,Jubilant FoodWorks Ltd.
533162,Hathway Cable & Datacom Ltd.
533179,Persistent Systems Ltd.
533206,SJVN Ltd.
533229,Bajaj Consumer Care Ltd.
533248,Gujarat Pipavav Port Ltd
533271,Ashoka Buildcon Ltd.
533273,Oberoi Realty Ltd.
533274,Prestige Estates Projects Ltd.
533278,Coal India Ltd.
533286,Moil Ltd.
533398,Muthoot Finance Ltd.
533400,Future Consumer Ltd.
533519,L&T Finance Holdings Ltd.
533573,Alembic Pharmaceuticals Ltd.
533655,Triveni Turbine Ltd.
533758,APL Apollo Tubes Ltd.
534076,Orient Refractories Limited
534091,Multi Commodity Exchange India
534139,Schneider Electric Infrastructure Ltd.
534309,NBCC India Ltd.
534804,CARE Ratings Ltd.
534816,Indus Towers Ltd.
534976,V-Mart Retail Ltd.
535648,Just Dial Ltd.
535754,Orient Cement Ltd.
535755,Aditya Birla Fashion and Retail Ltd.
535789,Indiabulls Housing Finance Ltd.
538567,Gulf Oil Lubricants India Ltd.
538962,Minda Corporation Ltd.
539118,VRL Logistics Ltd.
539150,PNC Infratech Ltd.
539254,Adani Transmission Ltd.
539268,Syngene International Ltd.
539336,Gujarat Gas Ltd.
539437,IDFC First Bank Ltd.
539448,Interglobe Aviation Ltd.
539450,S H Kelkar and Company Ltd
539523,Alkem Laboratories Ltd.
539524,Dr. Lal Pathlabs Ltd.
539542,Lux Industries Ltd.
539551,Narayana Hrudayalaya Ltd.
539597,Jindal Stainless (Hisar) Ltd.
539658,TeamLease Services Ltd.
539844,Equitas Holdings Ltd.
539871,Thyrocare Technologies Ltd.
539874,Ujjivan Financial Services Ltd.
539876,Crompton Greaves Consumer Electricals Ltd.
539957,Mahanagar Gas Ltd.
539978,Quess Corp Ltd.
540005,Larsen & Toubro Infotech Ltd.
540025,Advanced Enzyme Technologies Ltd.
540047,Dilip Buildcon Ltd.
540064,Future Retail Ltd.
540065,RBL Bank Ltd.
540115,L&T Technology Services Ltd.
540133,ICICI Prudential Life Insurance Company Ltd.
540153,Endurance Technologies Ltd.
540173,PNB Housing Finance Ltd.
540180,Varun Beverages Ltd.
540203,Sheela Foam Ltd.
540212,TCI Express Ltd.
540222,Laurus Labs Ltd.
540376,Avenue Supermarts Ltd.
540530,Housing & Urban Development Corpn. Ltd.
540575,Star Cement Ltd
540596,Eris Lifesciences Ltd
540611,AU Small Finance Bank Ltd.
540673,SIS Ltd.
540678,Cochin Shipyard Ltd.
540691,Aditya Birla Capital Ltd.
540699,Dixon Technologies (India) Ltd.
540701,Dishman Carbogen Amcis Ltd.
540716,ICICI Lombard General Insurance Company Ltd.
540719,SBI Life Insurance Company Ltd.
540743,Godrej Agrovet Ltd.
540749,Mas Financial Services Ltd.
540750,Indian Energy Exchange Ltd.
540755,General Insurance Corporation of India Ltd.
540762,Tube Investments Of India Ltd.
540767,Nippon Life India Asset Management Ltd.
540768,Mahindra Logistics Ltd.
540769,The New India Assurance Co. Ltd.
540777,HDFC Life Insurance Co Ltd.
540902,Amber Enterprises India Ltd.
540935,Galaxy Surfactants Ltd.
540975,Aster DM Healthcare Ltd.
541143,Bharat Dynamics Ltd.
541153,Bandhan Bank Ltd.
541154,Hindustan Aeronautics Ltd.
541179,ICICI Securities Ltd.
541195,Mishra Dhatu Nigam Ltd.
541233,Lemon Tree Hotels Ltd.
541301,Orient Electric Ltd.
541336,Indostar Capital Finance Pvt Ltd.
541450,Adani Green Energy Ltd.
541540,Solara Active Pharma Sciences Ltd.
541556,Rites Ltd.
541557,Fine Organic Industries Ltd.
541578,Varroc Engineering Pvt Ltd.
541700,TCNS Clothing Co Ltd.
541729,HDFC Asset Management Company Ltd.
541770,CreditAccess Grameen Ltd.
541956,Ircon International Ltd.
541988,Aavas Financiers Ltd.
542011,Garden Reach Shipbuilders & Engineers Ltd.
542066,Adani Total Gas Ltd.
542216,Dalmia Bharat Ltd.
542399,Chalet Hotel Ltd.
542649,Rail Vikas Nigam Ltd.
542650,Metropolis Healthcare Ltd.
542651,KPIT Technologies Ltd.
542652,Polycab India Ltd.
542726,Indiamart Intermesh Ltd.
542752,Affle (India) Ltd.
542759,Spandana Sphoorty Financial Ltd.
542760,Sterling and Wilson Solar Ltd.
542772,IIFL Wealth Management Ltd
542812,Gujarat Fluorochemicals Ltd.
542830,Indian Railway Catering & Tourism Corpn. Ltd.
542867,CSB Bank Ltd.
542904,Ujjivan Small Finance Bank Ltd.
542920,Sumitomo Chemical India Pvt. Ltd.
543064,Suven Pharmaceutical Ltd.
543066,SBI Cards & Payments Services Ltd.
543187,ABB Power Products and Systems India Ltd.
570001,Tata Motors DVR
